id,code,name,account_type,chart_template_id/id,reconcile
account686620,686620,Immobilisations financieres,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account686650,686650,Placements et prets courants,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account686800,686800,Dotations aux amortissements et aux provisions liees a une modification comptable inscrite dans le resultat de l'exercice ou a u,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account691000,691000,Impots sur les benefices calcules sur le resultat des activites ordinaires,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account695000,695000,Autres impots sur les benefices (regimes particuliers),Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account697000,697000,Impots sur les benefices calcules sur les elements extraordinaires,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account701100,701100,Produits finis acheves,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account701200,701200,Produits finis non acheves (contrat de longue duree),Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account702000,702000,Ventes de produits intermediaires,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account703000,703000,Ventes de produits residuels,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account704000,704000,Travaux,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account705000,705000,etudes et prestations de services,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account706000,706000,Produits des activites annexes,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account707100,707100,Ventes de marchandises,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account708000,708000,Ventes liees a une modification comptable a imputer au resultat de l'exercice ou a une activite abandonnee,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account709100,709100,Sur ventes de produits finis,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account709200,709200,Sur ventes de produits intermediaires,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account709400,709400,Sur travaux,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account709500,709500,Sur etudes et prestations de services,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account709600,709600,Sur activites annexes,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account709700,709700,Sur ventes de marchandises,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account709800,709800,Sur ventes liees a une modification comptable a imputer au resultat de l'exercice ou a une activite abandonnee,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account713300,713300,Variations des en-cours de production de biens,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account713400,713400,Variation des en-cours de production de services,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account713500,713500,Variation des stocks de produits,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account721000,721000,Immobilisations incorporelles,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account722000,722000,Immobilisations corporelles,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account728000,728000,Production immobilisee liee a une modification comptable a imputer au resultat de l'exercice ou a une activite abandonnee,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account731000,731000,Redevances pour concessions  brevets  licences  marques  procedes  droits et valeurs similaires,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account732000,732000,Revenus des immeubles non affectes aux activites professionnelles,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account733000,733000,Jetons de presence et remunerations d'administrateurs  gerants,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account734000,734000,Ristournes percues des cooperatives (provenant des excedents),Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account735000,735000,Quotes-parts de resultat sur operations faites en commun,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account736000,736000,Produits nets sur cessions d'immobilisations et autres gains sur elements non recurrents ou exceptionnels,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account738000,738000,Produits divers ordinaires lies a une modification comptable a imputer au resultat de l'exercice ou a une activite abandonnee,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account739000,739000,Quotes-parts des subventions d'investissement inscrites au resultat de l'exercice,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account740000,740000,Subventions d'exploitation et d'equilibre,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account745000,745000,Subventions d'equilibre,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account748000,748000,Subventions liees a une modification comptable a imputer au resultat de l'exercice ou a une activite abandonnee,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account751000,751000,Produits des participations,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account752000,752000,Produits des autres immobilisations financieres,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account753000,753000,Revenus des autres creances,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account754000,754000,Revenus des valeurs mobilieres de placement,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account755000,755000,Escomptes obtenus,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account756000,756000,Gains de change,Other Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account757000,757000,Produits nets sur cessions de valeurs mobilieres,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account758000,758000,Produits financiers lies a une modification comptable a imputer au resultat de l'exercice ou a une activite abandonnee,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account770000,770000,Gains extraordinaires,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account781110,781110,Immobilisations incorporelles,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account781120,781120,Immobilisations corporelles,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account781500,781500,Reprises sur provisions pour risques et charges d'exploitation,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
account781610,781610,Immobilisations incorporelles,Income,l10n_tn_account.l10n_tn_chart_template,FALSE
